"to","from","points"
"UKR","BEL",0
"SWE","BEL",2
"CYP","BEL",1
"DNK","BEL",0
"AUS","BEL",0
"GBR","BEL",6
"EST","BEL",0
"BEL","BEL",0
"LTU","BEL",0
"MDA","BEL",0
"ITA","BEL",0
"DEU","BEL",0
"IRL","BEL",0
"ESP","BEL",3
"NLD","BEL",8
"HUN","BEL",0
"AUT","BEL",0
"SVN","BEL",0
"PRT","BEL",0
"ISR","BGR",12
"NOR","BGR",7
"BLR","BGR",8
"CZE","BGR",6
"FIN","BGR",0
"FRA","BGR",2
"RUS","BGR",4
"UKR","BGR",5
"SWE","BGR",3
"CYP","BGR",10
"DNK","BGR",1
"AUS","BGR",0
"GBR","BGR",0
"EST","BGR",0
"BEL","BGR",0
"LTU","BGR",0
"MDA","BGR",0
"ITA","BGR",0
"DEU","BGR",0
"IRL","BGR",0
"ESP","BGR",0
"NLD","BGR",0
"HUN","BGR",0
"AUT","BGR",0
"SVN","BGR",0
"PRT","BGR",0
"ISR","HRV",12
"NOR","HRV",10
"BLR","HRV",7
"CZE","HRV",8
"FIN","HRV",1
"FRA","HRV",3
"RUS","HRV",0
"UKR","HRV",5
"SWE","HRV",2
"CYP","HRV",6
"DNK","HRV",4
"AUS","HRV",0
"GBR","HRV",0
"EST","HRV",0
"BEL","HRV",0
"LTU","HRV",0
"MDA","HRV",0
"ITA","HRV",0
"DEU","HRV",0
"IRL","HRV",0
"ESP","HRV",0
"NLD","HRV",0
"HUN","HRV",0
"AUT","HRV",0
"SVN","HRV",0
"PRT","HRV",0
"ISR","CYP",12
"NOR","CYP",10
"BLR","CYP",7
"CZE","CYP",8
"FIN","CYP",6
"FRA","CYP",1
"RUS","CYP",5
"UKR","CYP",3
"SWE","CYP",2
"CYP","CYP",0
"DNK","CYP",0
"AUS","CYP",4
"GBR","CYP",0
"EST","CYP",0
"BEL","CYP",0
"LTU","CYP",0
"MDA","CYP",0
"ITA","CYP",0
"DEU","CYP",0
"IRL","CYP",0
"ESP","CYP",0
"NLD","CYP",0
"HUN","CYP",0
"AUT","CYP",0
"SVN","CYP",0
"PRT","CYP",0
"ISR","CZE",10
"NOR","CZE",12
"BLR","CZE",8
"CZE","CZE",0
"FIN","CZE",7
"FRA","CZE",1
"RUS","CZE",5
"UKR","CZE",6
"SWE","CZE",4
"CYP","CZE",0
"DNK","CZE",0
"AUS","CZE",0
"GBR","CZE",2
"EST","CZE",0
"BEL","CZE",0
"LTU","CZE",0
"MDA","CZE",3
"ITA","CZE",0
"DEU","CZE",0
"IRL","CZE",0
"ESP","CZE",0
"NLD","CZE",0
"HUN","CZE",0
"AUT","CZE",0
"SVN","CZE",0
"PRT","CZE",0
"ISR","DNK",6
"NOR","DNK",10
"BLR","DNK",5
"CZE","DNK",2
"FIN","DNK",12
"FRA","DNK",4
"RUS","DNK",0
"UKR","DNK",1
"SWE","DNK",8
"CYP","DNK",0
"DNK","DNK",0
"AUS","DNK",0
"GBR","DNK",0
"EST","DNK",0
"BEL","DNK",0
"LTU","DNK",0
"MDA","DNK",0
"ITA","DNK",0
"DEU","DNK",7
"IRL","DNK",3
"ESP","DNK",0
"NLD","DNK",0
"HUN","DNK",0
"AUT","DNK",0
"SVN","DNK",0
"PRT","DNK",0
"ISR","EST",6
"NOR","EST",7
"BLR","EST",10
"CZE","EST",5
"FIN","EST",8
"FRA","EST",1
"RUS","EST",12
"UKR","EST",3
"SWE","EST",4
"CYP","EST",0
"DNK","EST",0
"AUS","EST",0
"GBR","EST",0
"EST","EST",0
"BEL","EST",2
"LTU","EST",0
"MDA","EST",0
"ITA","EST",0
"DEU","EST",0
"IRL","EST",0
"ESP","EST",0
"NLD","EST",0
"HUN","EST",0
"AUT","EST",0
"SVN","EST",0
"PRT","EST",0
"ISR","MKD",8
"NOR","MKD",6
"BLR","MKD",7
"CZE","MKD",10
"FIN","MKD",5
"FRA","MKD",4
"RUS","MKD",0
"UKR","MKD",0
"SWE","MKD",1
"CYP","MKD",12
"DNK","MKD",0
"AUS","MKD",0
"GBR","MKD",0
"EST","MKD",3
"BEL","MKD",0
"LTU","MKD",0
"MDA","MKD",0
"ITA","MKD",0
"DEU","MKD",0
"IRL","MKD",0
"ESP","MKD",2
"NLD","MKD",0
"HUN","MKD",0
"AUT","MKD",0
"SVN","MKD",0
"PRT","MKD",0
"ISR","FIN",10
"NOR","FIN",12
"BLR","FIN",6
"CZE","FIN",7
"FIN","FIN",0
"FRA","FIN",5
"RUS","FIN",2
"UKR","FIN",3
"SWE","FIN",8
"CYP","FIN",0
"DNK","FIN",0
"AUS","FIN",1
"GBR","FIN",0
"EST","FIN",4
"BEL","FIN",0
"LTU","FIN",0
"MDA","FIN",0
"ITA","FIN",0
"DEU","FIN",0
"IRL","FIN",0
"ESP","FIN",0
"NLD","FIN",0
"HUN","FIN",0
"AUT","FIN",0
"SVN","FIN",0
"PRT","FIN",0
"ISR","FRA",10
"NOR","FRA",8
"BLR","FRA",4
"CZE","FRA",6
"FIN","FRA",7
"FRA","FRA",0
"RUS","FRA",1
"UKR","FRA",5
"SWE","FRA",2
"CYP","FRA",0
"DNK","FRA",0
"AUS","FRA",3
"GBR","FRA",12
"EST","FRA",0
"BEL","FRA",0
"LTU","FRA",0
"MDA","FRA",0
"ITA","FRA",0
"DEU","FRA",0
"IRL","FRA",0
"ESP","FRA",0
"NLD","FRA",0
"HUN","FRA",0
"AUT","FRA",0
"SVN","FRA",0
"PRT","FRA",0
"ISR","GEO",4
"NOR","GEO",10
"BLR","GEO",12
"CZE","GEO",8
"FIN","GEO",6
"FRA","GEO",5
"RUS","GEO",7
"UKR","GEO",1
"SWE","GEO",0
"CYP","GEO",3
"DNK","GEO",0
"AUS","GEO",0
"GBR","GEO",0
"EST","GEO",0
"BEL","GEO",0
"LTU","GEO",0
"MDA","GEO",0
"ITA","GEO",0
"DEU","GEO",0
"IRL","GEO",0
"ESP","GEO",0
"NLD","GEO",2
"HUN","GEO",0
"AUT","GEO",0
"SVN","GEO",0
"PRT","GEO",0
"ISR","DEU",12
"NOR","DEU",10
"BLR","DEU",8
"CZE","DEU",6
"FIN","DEU",3
"FRA","DEU",4
"RUS","DEU",7
"UKR","DEU",5
"SWE","DEU",0
"CYP","DEU",2
"DNK","DEU",0
"AUS","DEU",0
"GBR","DEU",0
"EST","DEU",0
"BEL","DEU",0
"LTU","DEU",0
"MDA","DEU",0
"ITA","DEU",0
"DEU","DEU",0
"IRL","DEU",0
"ESP","DEU",0
"NLD","DEU",1
"HUN","DEU",0
"AUT","DEU",0
"SVN","DEU",0
"PRT","DEU",0
"ISR","GRC",10
"NOR","GRC",7
"BLR","GRC",6
"CZE","GRC",8
"FIN","GRC",5
"FRA","GRC",2
"RUS","GRC",0
"UKR","GRC",4
"SWE","GRC",3
"CYP","GRC",12
"DNK","GRC",0
"AUS","GRC",1
"GBR","GRC",0
"EST","GRC",0
"BEL","GRC",0
"LTU","GRC",0
"MDA","GRC",0
"ITA","GRC",0
"DEU","GRC",0
"IRL","GRC",0
"ESP","GRC",0
"NLD","GRC",0
"HUN","GRC",0
"AUT","GRC",0
"SVN","GRC",0
"PRT","GRC",0
"ISR","HUN",10
"NOR","HUN",12
"BLR","HUN",5
"CZE","HUN",2
"FIN","HUN",8
"FRA","HUN",4
"RUS","HUN",0
"UKR","HUN",6
"SWE","HUN",3
"CYP","HUN",0
"DNK","HUN",7
"AUS","HUN",0
"GBR","HUN",0
"EST","HUN",0
"BEL","HUN",0
"LTU","HUN",0
"MDA","HUN",0
"ITA","HUN",0
"DEU","HUN",0
"IRL","HUN",1
"ESP","HUN",0
"NLD","HUN",0
"HUN","HUN",0
"AUT","HUN",0
"SVN","HUN",0
"PRT","HUN",0
"ISR","ISL",12
"NOR","ISL",10
"BLR","ISL",5
"CZE","ISL",7
"FIN","ISL",8
"FRA","ISL",0
"RUS","ISL",0
"UKR","ISL",0
"SWE","ISL",6
"CYP","ISL",0
"DNK","ISL",2
"AUS","ISL",0
"GBR","ISL",0
"EST","ISL",4
"BEL","ISL",1
"LTU","ISL",3
"MDA","ISL",0
"ITA","ISL",0
"DEU","ISL",0
"IRL","ISL",0
"ESP","ISL",0
"NLD","ISL",0
"HUN","ISL",0
"AUT","ISL",0
"SVN","ISL",0
"PRT","ISL",0
"ISR","IRL",8
"NOR","IRL",10
"BLR","IRL",7
"CZE","IRL",1
"FIN","IRL",12
"FRA","IRL",5
"RUS","IRL",0
"UKR","IRL",0
"SWE","IRL",4
"CYP","IRL",0
"DNK","IRL",0
"AUS","IRL",2
"GBR","IRL",0
"EST","IRL",0
"BEL","IRL",0
"LTU","IRL",6
"MDA","IRL",0
"ITA","IRL",0
"DEU","IRL",0
"IRL","IRL",0
"ESP","IRL",3
"NLD","IRL",0
"HUN","IRL",0
"AUT","IRL",0
"SVN","IRL",0
"PRT","IRL",0
"ISR","ISR",0
"NOR","ISR",7
"BLR","ISR",10
"CZE","ISR",12
"FIN","ISR",3
"FRA","ISR",6
"RUS","ISR",8
"UKR","ISR",2
"SWE","ISR",0
"CYP","ISR",0
"DNK","ISR",0
"AUS","ISR",4
"GBR","ISR",0
"EST","ISR",0
"BEL","ISR",5
"LTU","ISR",0
"MDA","ISR",0
"ITA","ISR",0
"DEU","ISR",0
"IRL","ISR",0
"ESP","ISR",1
"NLD","ISR",0
"HUN","ISR",0
"AUT","ISR",0
"SVN","ISR",0
"PRT","ISR",0
"ISR","ITA",12
"NOR","ITA",7
"BLR","ITA",1
"CZE","ITA",6
"FIN","ITA",8
"FRA","ITA",10
"RUS","ITA",2
"UKR","ITA",3
"SWE","ITA",4
"CYP","ITA",5
"DNK","ITA",0
"AUS","ITA",0
"GBR","ITA",0
"EST","ITA",0
"BEL","ITA",0
"LTU","ITA",0
"MDA","ITA",0
"ITA","ITA",0
"DEU","ITA",0
"IRL","ITA",0
"ESP","ITA",0
"NLD","ITA",0
"HUN","ITA",0
"AUT","ITA",0
"SVN","ITA",0
"PRT","ITA",0
"ISR","LVA",1
"NOR","LVA",8
"BLR","LVA",12
"CZE","LVA",0
"FIN","LVA",2
"FRA","LVA",0
"RUS","LVA",10
"UKR","LVA",5
"SWE","LVA",6
"CYP","LVA",0
"DNK","LVA",0
"AUS","LVA",0
"GBR","LVA",0
"EST","LVA",0
"BEL","LVA",3
"LTU","LVA",4
"MDA","LVA",7
"ITA","LVA",0
"DEU","LVA",0
"IRL","LVA",0
"ESP","LVA",0
"NLD","LVA",0
"HUN","LVA",0
"AUT","LVA",0
"SVN","LVA",0
"PRT","LVA",0
"ISR","LTU",10
"NOR","LTU",7
"BLR","LTU",12
"CZE","LTU",8
"FIN","LTU",3
"FRA","LTU",1
"RUS","LTU",5
"UKR","LTU",6
"SWE","LTU",4
"CYP","LTU",0
"DNK","LTU",0
"AUS","LTU",0
"GBR","LTU",0
"EST","LTU",2
"BEL","LTU",0
"LTU","LTU",0
"MDA","LTU",0
"ITA","LTU",0
"DEU","LTU",0
"IRL","LTU",0
"ESP","LTU",0
"NLD","LTU",0
"HUN","LTU",0
"AUT","LTU",0
"SVN","LTU",0
"PRT","LTU",0
"ISR","MLT",10
"NOR","MLT",3
"BLR","MLT",0
"CZE","MLT",7
"FIN","MLT",12
"FRA","MLT",0
"RUS","MLT",0
"UKR","MLT",2
"SWE","MLT",5
"CYP","MLT",8
"DNK","MLT",0
"AUS","MLT",6
"GBR","MLT",0
"EST","MLT",0
"BEL","MLT",0
"LTU","MLT",4
"MDA","MLT",0
"ITA","MLT",0
"DEU","MLT",0
"IRL","MLT",0
"ESP","MLT",1
"NLD","MLT",0
"HUN","MLT",0
"AUT","MLT",0
"SVN","MLT",0
"PRT","MLT",0
"ISR","MDA",6
"NOR","MDA",10
"BLR","MDA",12
"CZE","MDA",5
"FIN","MDA",0
"FRA","MDA",4
"RUS","MDA",8
"UKR","MDA",7
"SWE","MDA",0
"CYP","MDA",0
"DNK","MDA",0
"AUS","MDA",3
"GBR","MDA",0
"EST","MDA",0
"BEL","MDA",1
"LTU","MDA",0
"MDA","MDA",0
"ITA","MDA",0
"DEU","MDA",0
"IRL","MDA",2
"ESP","MDA",0
"NLD","MDA",0
"HUN","MDA",0
"AUT","MDA",0
"SVN","MDA",0
"PRT","MDA",0
"ISR","MNE",12
"NOR","MNE",5
"BLR","MNE",10
"CZE","MNE",4
"FIN","MNE",0
"FRA","MNE",2
"RUS","MNE",8
"UKR","MNE",0
"SWE","MNE",6
"CYP","MNE",0
"DNK","MNE",1
"AUS","MNE",0
"GBR","MNE",0
"EST","MNE",7
"BEL","MNE",0
"LTU","MNE",0
"MDA","MNE",0
"ITA","MNE",0
"DEU","MNE",0
"IRL","MNE",0
"ESP","MNE",0
"NLD","MNE",0
"HUN","MNE",0
"AUT","MNE",3
"SVN","MNE",0
"PRT","MNE",0
"ISR","NLD",12
"NOR","NLD",10
"BLR","NLD",6
"CZE","NLD",7
"FIN","NLD",5
"FRA","NLD",0
"RUS","NLD",0
"UKR","NLD",2
"SWE","NLD",1
"CYP","NLD",0
"DNK","NLD",0
"AUS","NLD",8
"GBR","NLD",4
"EST","NLD",0
"BEL","NLD",3
"LTU","NLD",0
"MDA","NLD",0
"ITA","NLD",0
"DEU","NLD",0
"IRL","NLD",0
"ESP","NLD",0
"NLD","NLD",0
"HUN","NLD",0
"AUT","NLD",0
"SVN","NLD",0
"PRT","NLD",0
"ISR","NOR",8
"NOR","NOR",0
"BLR","NOR",0
"CZE","NOR",5
"FIN","NOR",12
"FRA","NOR",2
"RUS","NOR",6
"UKR","NOR",0
"SWE","NOR",10
"CYP","NOR",0
"DNK","NOR",7
"AUS","NOR",0
"GBR","NOR",4
"EST","NOR",0
"BEL","NOR",1
"LTU","NOR",3
"MDA","NOR",0
"ITA","NOR",0
"DEU","NOR",0
"IRL","NOR",0
"ESP","NOR",0
"NLD","NOR",0
"HUN","NOR",0
"AUT","NOR",0
"SVN","NOR",0
"PRT","NOR",0
"ISR","POL",10
"NOR","POL",12
"BLR","POL",8
"CZE","POL",6
"FIN","POL",7
"FRA","POL",1
"RUS","POL",4
"UKR","POL",5
"SWE","POL",2
"CYP","POL",0
"DNK","POL",3
"AUS","POL",0
"GBR","POL",0
"EST","POL",0
"BEL","POL",0
"LTU","POL",0
"MDA","POL",0
"ITA","POL",0
"DEU","POL",0
"IRL","POL",0
"ESP","POL",0
"NLD","POL",0
"HUN","POL",0
"AUT","POL",0
"SVN","POL",0
"PRT","POL",0
"ISR","PRT",12
"NOR","PRT",7
"BLR","PRT",3
"CZE","PRT",8
"FIN","PRT",4
"FRA","PRT",10
"RUS","PRT",2
"UKR","PRT",5
"SWE","PRT",6
"CYP","PRT",0
"DNK","PRT",0
"AUS","PRT",0
"GBR","PRT",0
"EST","PRT",0
"BEL","PRT",0
"LTU","PRT",0
"MDA","PRT",0
"ITA","PRT",0
"DEU","PRT",0
"IRL","PRT",0
"ESP","PRT",1
"NLD","PRT",0
"HUN","PRT",0
"AUT","PRT",0
"SVN","PRT",0
"PRT","PRT",0
"ISR","ROU",12
"NOR","ROU",10
"BLR","ROU",7
"CZE","ROU",8
"FIN","ROU",0
"FRA","ROU",4
"RUS","ROU",0
"UKR","ROU",5
"SWE","ROU",2
"CYP","ROU",0
"DNK","ROU",3
"AUS","ROU",1
"GBR","ROU",0
"EST","ROU",0
"BEL","ROU",0
"LTU","ROU",0
"MDA","ROU",0
"ITA","ROU",0
"DEU","ROU",0
"IRL","ROU",0
"ESP","ROU",0
"NLD","ROU",0
"HUN","ROU",6
"AUT","ROU",0
"SVN","ROU",0
"PRT","ROU",0
"ISR","RUS",8
"NOR","RUS",10
"BLR","RUS",12
"CZE","RUS",5
"FIN","RUS",4
"FRA","RUS",2
"RUS","RUS",0
"UKR","RUS",7
"SWE","RUS",0
"CYP","RUS",0
"DNK","RUS",3
"AUS","RUS",0
"GBR","RUS",0
"EST","RUS",1
"BEL","RUS",0
"LTU","RUS",0
"MDA","RUS",6
"ITA","RUS",0
"DEU","RUS",0
"IRL","RUS",0
"ESP","RUS",0
"NLD","RUS",0
"HUN","RUS",0
"AUT","RUS",0
"SVN","RUS",0
"PRT","RUS",0
"ISR","SMR",0
"NOR","SMR",0
"BLR","SMR",0
"CZE","SMR",0
"FIN","SMR",0
"FRA","SMR",0
"RUS","SMR",0
"UKR","SMR",0
"SWE","SMR",0
"CYP","SMR",0
"DNK","SMR",0
"AUS","SMR",0
"GBR","SMR",0
"EST","SMR",0
"BEL","SMR",0
"LTU","SMR",0
"MDA","SMR",0
"ITA","SMR",12
"DEU","SMR",0
"IRL","SMR",0
"ESP","SMR",0
"NLD","SMR",0
"HUN","SMR",0
"AUT","SMR",0
"SVN","SMR",0
"PRT","SMR",0
"ISR","SRB",12
"NOR","SRB",8
"BLR","SRB",7
"CZE","SRB",10
"FIN","SRB",0
"FRA","SRB",2
"RUS","SRB",0
"UKR","SRB",6
"SWE","SRB",1
"CYP","SRB",5
"DNK","SRB",4
"AUS","SRB",0
"GBR","SRB",0
"EST","SRB",0
"BEL","SRB",0
"LTU","SRB",0
"MDA","SRB",0
"ITA","SRB",0
"DEU","SRB",0
"IRL","SRB",0
"ESP","SRB",0
"NLD","SRB",0
"HUN","SRB",0
"AUT","SRB",0
"SVN","SRB",3
"PRT","SRB",0
"ISR","SVN",12
"NOR","SVN",10
"BLR","SVN",1
"CZE","SVN",8
"FIN","SVN",7
"FRA","SVN",6
"RUS","SVN",0
"UKR","SVN",4
"SWE","SVN",5
"CYP","SVN",0
"DNK","SVN",0
"AUS","SVN",3
"GBR","SVN",0
"EST","SVN",2
"BEL","SVN",0
"LTU","SVN",0
"MDA","SVN",0
"ITA","SVN",0
"DEU","SVN",0
"IRL","SVN",0
"ESP","SVN",0
"NLD","SVN",0
"HUN","SVN",0
"AUT","SVN",0
"SVN","SVN",0
"PRT","SVN",0
"ISR","ESP",12
"NOR","ESP",6
"BLR","ESP",1
"CZE","ESP",10
"FIN","ESP",5
"FRA","ESP",7
"RUS","ESP",2
"UKR","ESP",0
"SWE","ESP",8
"CYP","ESP",4
"DNK","ESP",3
"AUS","ESP",0
"GBR","ESP",0
"EST","ESP",0
"BEL","ESP",0
"LTU","ESP",0
"MDA","ESP",0
"ITA","ESP",0
"DEU","ESP",0
"IRL","ESP",0
"ESP","ESP",0
"NLD","ESP",0
"HUN","ESP",0
"AUT","ESP",0
"SVN","ESP",0
"PRT","ESP",0
"ISR","SWE",10
"NOR","SWE",12
"BLR","SWE",5
"CZE","SWE",6
"FIN","SWE",8
"FRA","SWE",4
"RUS","SWE",0
"UKR","SWE",2
"SWE","SWE",0
"CYP","SWE",1
"DNK","SWE",7
"AUS","SWE",0
"GBR","SWE",0
"EST","SWE",0
"BEL","SWE",0
"LTU","SWE",3
"MDA","SWE",0
"ITA","SWE",0
"DEU","SWE",0
"IRL","SWE",0
"ESP","SWE",0
"NLD","SWE",0
"HUN","SWE",0
"AUT","SWE",0
"SVN","SWE",0
"PRT","SWE",0
"ISR","CHE",10
"NOR","CHE",7
"BLR","CHE",4
"CZE","CHE",0
"FIN","CHE",8
"FRA","CHE",12
"RUS","CHE",6
"UKR","CHE",0
"SWE","CHE",2
"CYP","CHE",0
"DNK","CHE",0
"AUS","CHE",0
"GBR","CHE",1
"EST","CHE",0
"BEL","CHE",0
"LTU","CHE",0
"MDA","CHE",0
"ITA","CHE",5
"DEU","CHE",3
"IRL","CHE",0
"ESP","CHE",0
"NLD","CHE",0
"HUN","CHE",0
"AUT","CHE",0
"SVN","CHE",0
"PRT","CHE",0
"ISR","UKR",7
"NOR","UKR",10
"BLR","UKR",12
"CZE","UKR",6
"FIN","UKR",2
"FRA","UKR",5
"RUS","UKR",8
"UKR","UKR",0
"SWE","UKR",0
"CYP","UKR",0
"DNK","UKR",3
"AUS","UKR",0
"GBR","UKR",0
"EST","UKR",0
"BEL","UKR",1
"LTU","UKR",0
"MDA","UKR",4
"ITA","UKR",0
"DEU","UKR",0
"IRL","UKR",0
"ESP","UKR",0
"NLD","UKR",0
"HUN","UKR",0
"AUT","UKR",0
"SVN","UKR",0
"PRT","UKR",0
"ISR","GBR",10
"NOR","GBR",8
"BLR","GBR",3
"CZE","GBR",5
"FIN","GBR",12
"FRA","GBR",2
"RUS","GBR",0
"UKR","GBR",0
"SWE","GBR",7
"CYP","GBR",1
"DNK","GBR",0
"AUS","GBR",6
"GBR","GBR",0
"EST","GBR",0
"BEL","GBR",0
"LTU","GBR",0
"MDA","GBR",0
"ITA","GBR",0
"DEU","GBR",0
"IRL","GBR",4
"ESP","GBR",0
"NLD","GBR",0
"HUN","GBR",0
"AUT","GBR",0
"SVN","GBR",0
"PRT","GBR",0
