"to","from","points"
"BLR","CZE",0
"NOR","CZE",0
"ROU","CZE",0
"PRT","FIN",12
"AUS","FIN",10
"BEL","FIN",8
"BGR","FIN",6
"SWE","FIN",7
"FRA","FIN",4
"ITA","FIN",5
"ISR","FIN",1
"GRC","FIN",0
"MDA","FIN",3
"HRV","FIN",0
"CYP","FIN",0
"HUN","FIN",0
"GBR","FIN",0
"DNK","FIN",2
"DEU","FIN",0
"AZE","FIN",0
"NLD","FIN",0
"POL","FIN",0
"UKR","FIN",0
"ARM","FIN",0
"AUT","FIN",0
"ESP","FIN",0
"BLR","FIN",0
"NOR","FIN",0
"ROU","FIN",0
"PRT","GEO",12
"AUS","GEO",10
"BEL","GEO",7
"BGR","GEO",8
"SWE","GEO",5
"FRA","GEO",3
"ITA","GEO",0
"ISR","GEO",0
"GRC","GEO",0
"MDA","GEO",0
"HRV","GEO",0
"CYP","GEO",6
"HUN","GEO",0
"GBR","GEO",0
"DNK","GEO",0
"DEU","GEO",0
"AZE","GEO",2
"NLD","GEO",0
"POL","GEO",0
"UKR","GEO",1
"ARM","GEO",4
"AUT","GEO",0
"ESP","GEO",0
"BLR","GEO",0
"NOR","GEO",0
"ROU","GEO",0
"PRT","GRC",10
"AUS","GRC",5
"BEL","GRC",4
"BGR","GRC",8
"SWE","GRC",7
"FRA","GRC",6
"ITA","GRC",2
"ISR","GRC",3
"GRC","GRC",0
"MDA","GRC",0
"HRV","GRC",0
"CYP","GRC",12
"HUN","GRC",0
"GBR","GRC",0
"DNK","GRC",1
"DEU","GRC",0
"AZE","GRC",0
"NLD","GRC",0
"POL","GRC",0
"UKR","GRC",0
"ARM","GRC",0
"AUT","GRC",0
"ESP","GRC",0
"BLR","GRC",0
"NOR","GRC",0
"ROU","GRC",0
"PRT","ISL",12
"AUS","ISL",10
"BEL","ISL",8
"BGR","ISL",6
"SWE","ISL",7
"FRA","ISL",2
"ITA","ISL",5
"ISR","ISL",0
"GRC","ISL",0
"MDA","ISL",3
"HRV","ISL",0
"CYP","ISL",0
"HUN","ISL",0
"GBR","ISL",0
"DNK","ISL",1
"DEU","ISL",0
"AZE","ISL",0
"NLD","ISL",0
"POL","ISL",4
"UKR","ISL",0
"ARM","ISL",0
"AUT","ISL",0
"ESP","ISL",0
"BLR","ISL",0
"NOR","ISL",0
"ROU","ISL",0
"PRT","LVA",12
"AUS","LVA",8
"BEL","LVA",10
"BGR","LVA",7
"SWE","LVA",4
"FRA","LVA",2
"ITA","LVA",6
"ISR","LVA",0
"GRC","LVA",0
"MDA","LVA",5
"HRV","LVA",0
"CYP","LVA",0
"HUN","LVA",0
"GBR","LVA",0
"DNK","LVA",0
"DEU","LVA",0
"AZE","LVA",0
"NLD","LVA",0
"POL","LVA",3
"UKR","LVA",0
"ARM","LVA",1
"AUT","LVA",0
"ESP","LVA",0
"BLR","LVA",0
"NOR","LVA",0
"ROU","LVA",0
"PRT","MDA",12
"AUS","MDA",10
"BEL","MDA",6
"BGR","MDA",8
"SWE","MDA",3
"FRA","MDA",2
"ITA","MDA",7
"ISR","MDA",0
"GRC","MDA",5
"MDA","MDA",0
"HRV","MDA",0
"CYP","MDA",1
"HUN","MDA",0
"GBR","MDA",0
"DNK","MDA",0
"DEU","MDA",0
"AZE","MDA",0
"NLD","MDA",0
"POL","MDA",0
"UKR","MDA",4
"ARM","MDA",0
"AUT","MDA",0
"ESP","MDA",0
"BLR","MDA",0
"NOR","MDA",0
"ROU","MDA",0
"PRT","MNE",12
"AUS","MNE",8
"BEL","MNE",0
"BGR","MNE",2
"SWE","MNE",7
"FRA","MNE",5
"ITA","MNE",0
"ISR","MNE",6
"GRC","MNE",10
"MDA","MNE",3
"HRV","MNE",4
"CYP","MNE",1
"HUN","MNE",0
"GBR","MNE",0
"DNK","MNE",0
"DEU","MNE",0
"AZE","MNE",0
"NLD","MNE",0
"POL","MNE",0
"UKR","MNE",0
"ARM","MNE",0
"AUT","MNE",0
"ESP","MNE",0
"BLR","MNE",0
"NOR","MNE",0
"ROU","MNE",0
"PRT","POL",12
"AUS","POL",7
"BEL","POL",10
"BGR","POL",8
"SWE","POL",6
"FRA","POL",2
"ITA","POL",3
"ISR","POL",4
"GRC","POL",0
"MDA","POL",5
"HRV","POL",0
"CYP","POL",0
"HUN","POL",0
"GBR","POL",0
"DNK","POL",0
"DEU","POL",0
"AZE","POL",0
"NLD","POL",0
"POL","POL",0
"UKR","POL",1
"ARM","POL",0
"AUT","POL",0
"ESP","POL",0
"BLR","POL",0
"NOR","POL",0
"ROU","POL",0
"PRT","PRT",0
"AUS","PRT",8
"BEL","PRT",10
"BGR","PRT",5
"SWE","PRT",6
"FRA","PRT",7
"ITA","PRT",12
"ISR","PRT",1
"GRC","PRT",4
"MDA","PRT",2
"HRV","PRT",0
"CYP","PRT",0
"HUN","PRT",0
"GBR","PRT",0
"DNK","PRT",0
"DEU","PRT",0
"AZE","PRT",0
"NLD","PRT",0
"POL","PRT",0
"UKR","PRT",0
"ARM","PRT",0
"AUT","PRT",0
"ESP","PRT",3
"BLR","PRT",0
"NOR","PRT",0
"ROU","PRT",0
"PRT","SVN",12
"AUS","SVN",8
"BEL","SVN",6
"BGR","SVN",3
"SWE","SVN",4
"FRA","SVN",1
"ITA","SVN",7
"ISR","SVN",0
"GRC","SVN",0
"MDA","SVN",0
"HRV","SVN",10
"CYP","SVN",0
"HUN","SVN",2
"GBR","SVN",0
"DNK","SVN",0
"DEU","SVN",0
"AZE","SVN",0
"NLD","SVN",0
"POL","SVN",5
"UKR","SVN",0
"ARM","SVN",0
"AUT","SVN",0
"ESP","SVN",0
"BLR","SVN",0
"NOR","SVN",0
"ROU","SVN",0
"PRT","SWE",10
"AUS","SWE",12
"BEL","SWE",8
"BGR","SWE",7
"SWE","SWE",0
"FRA","SWE",6
"ITA","SWE",4
"ISR","SWE",1
"GRC","SWE",5
"MDA","SWE",3
"HRV","SWE",0
"CYP","SWE",0
"HUN","SWE",0
"GBR","SWE",0
"DNK","SWE",2
"DEU","SWE",0
"AZE","SWE",0
"NLD","SWE",0
"POL","SWE",0
"UKR","SWE",0
"ARM","SWE",0
"AUT","SWE",0
"ESP","SWE",0
"BLR","SWE",0
"NOR","SWE",0
"ROU","SWE",0
"PRT","AUT",12
"AUS","AUT",6
"BEL","AUT",2
"BGR","AUT",7
"SWE","AUT",3
"FRA","AUT",1
"ITA","AUT",4
"ISR","AUT",0
"GRC","AUT",0
"MDA","AUT",0
"HRV","AUT",5
"CYP","AUT",0
"HUN","AUT",8
"GBR","AUT",0
"DNK","AUT",0
"DEU","AUT",10
"AZE","AUT",0
"NLD","AUT",0
"POL","AUT",0
"UKR","AUT",0
"ARM","AUT",0
"AUT","AUT",0
"ESP","AUT",0
"BLR","AUT",0
"NOR","AUT",0
"ROU","AUT",0
"PRT","BLR",6
"AUS","BLR",2
"BEL","BLR",7
"BGR","BLR",0
"SWE","BLR",12
"FRA","BLR",1
"ITA","BLR",0
"ISR","BLR",0
"GRC","BLR",0
"MDA","BLR",8
"HRV","BLR",0
"CYP","BLR",4
"HUN","BLR",5
"GBR","BLR",0
"DNK","BLR",0
"DEU","BLR",0
"AZE","BLR",3
"NLD","BLR",0
"POL","BLR",0
"UKR","BLR",10
"ARM","BLR",0
"AUT","BLR",0
"ESP","BLR",0
"BLR","BLR",0
"NOR","BLR",0
"ROU","BLR",0
"PRT","BGR",12
"AUS","BGR",7
"BEL","BGR",3
"BGR","BGR",0
"SWE","BGR",1
"FRA","BGR",8
"ITA","BGR",4
"ISR","BGR",5
"GRC","BGR",10
"MDA","BGR",0
"HRV","BGR",0
"CYP","BGR",0
"HUN","BGR",2
"GBR","BGR",0
"DNK","BGR",0
"DEU","BGR",0
"AZE","BGR",6
"NLD","BGR",0
"POL","BGR",0
"UKR","BGR",0
"ARM","BGR",0
"AUT","BGR",0
"ESP","BGR",0
"BLR","BGR",0
"NOR","BGR",0
"ROU","BGR",0
"PRT","HRV",12
"AUS","HRV",10
"BEL","HRV",6
"BGR","HRV",8
"SWE","HRV",4
"FRA","HRV",3
"ITA","HRV",5
"ISR","HRV",7
"GRC","HRV",0
"MDA","HRV",0
"HRV","HRV",0
"CYP","HRV",0
"HUN","HRV",0
"GBR","HRV",0
"DNK","HRV",1
"DEU","HRV",0
"AZE","HRV",0
"NLD","HRV",0
"POL","HRV",2
"UKR","HRV",0
"ARM","HRV",0
"AUT","HRV",0
"ESP","HRV",0
"BLR","HRV",0
"NOR","HRV",0
"ROU","HRV",0
"PRT","DNK",10
"AUS","DNK",12
"BEL","DNK",6
"BGR","DNK",7
"SWE","DNK",8
"FRA","DNK",2
"ITA","DNK",0
"ISR","DNK",5
"GRC","DNK",0
"MDA","DNK",0
"HRV","DNK",3
"CYP","DNK",0
"HUN","DNK",0
"GBR","DNK",1
"DNK","DNK",0
"DEU","DNK",4
"AZE","DNK",0
"NLD","DNK",0
"POL","DNK",0
"UKR","DNK",0
"ARM","DNK",0
"AUT","DNK",0
"ESP","DNK",0
"BLR","DNK",0
"NOR","DNK",0
"ROU","DNK",0
"PRT","EST",12
"AUS","EST",7
"BEL","EST",8
"BGR","EST",10
"SWE","EST",6
"FRA","EST",2
"ITA","EST",4
"ISR","EST",1
"GRC","EST",3
"MDA","EST",0
"HRV","EST",0
"CYP","EST",0
"HUN","EST",0
"GBR","EST",0
"DNK","EST",0
"DEU","EST",0
"AZE","EST",0
"NLD","EST",0
"POL","EST",5
"UKR","EST",0
"ARM","EST",0
"AUT","EST",0
"ESP","EST",0
"BLR","EST",0
"NOR","EST",0
"ROU","EST",0
"PRT","MKD",7
"AUS","MKD",6
"BEL","MKD",10
"BGR","MKD",12
"SWE","MKD",3
"FRA","MKD",4
"ITA","MKD",2
"ISR","MKD",8
"GRC","MKD",1
"MDA","MKD",0
"HRV","MKD",5
"CYP","MKD",0
"HUN","MKD",0
"GBR","MKD",0
"DNK","MKD",0
"DEU","MKD",0
"AZE","MKD",0
"NLD","MKD",0
"POL","MKD",0
"UKR","MKD",0
"ARM","MKD",0
"AUT","MKD",0
"ESP","MKD",0
"BLR","MKD",0
"NOR","MKD",0
"ROU","MKD",0
"PRT","HUN",12
"AUS","HUN",8
"BEL","HUN",7
"BGR","HUN",10
"SWE","HUN",3
"FRA","HUN",5
"ITA","HUN",0
"ISR","HUN",6
"GRC","HUN",1
"MDA","HUN",4
"HRV","HUN",0
"CYP","HUN",2
"HUN","HUN",0
"GBR","HUN",0
"DNK","HUN",0
"DEU","HUN",0
"AZE","HUN",0
"NLD","HUN",0
"POL","HUN",0
"UKR","HUN",0
"ARM","HUN",0
"AUT","HUN",0
"ESP","HUN",0
"BLR","HUN",0
"NOR","HUN",0
"ROU","HUN",0
"PRT","IRL",8
"AUS","IRL",10
"BEL","IRL",6
"BGR","IRL",7
"SWE","IRL",3
"FRA","IRL",4
"ITA","IRL",1
"ISR","IRL",5
"GRC","IRL",0
"MDA","IRL",2
"HRV","IRL",0
"CYP","IRL",0
"HUN","IRL",0
"GBR","IRL",12
"DNK","IRL",0
"DEU","IRL",0
"AZE","IRL",0
"NLD","IRL",0
"POL","IRL",0
"UKR","IRL",0
"ARM","IRL",0
"AUT","IRL",0
"ESP","IRL",0
"BLR","IRL",0
"NOR","IRL",0
"ROU","IRL",0
"PRT","ISR",10
"AUS","ISR",7
"BEL","ISR",8
"BGR","ISR",4
"SWE","ISR",1
"FRA","ISR",12
"ITA","ISR",6
"ISR","ISR",0
"GRC","ISR",0
"MDA","ISR",0
"HRV","ISR",0
"CYP","ISR",0
"HUN","ISR",0
"GBR","ISR",0
"DNK","ISR",0
"DEU","ISR",2
"AZE","ISR",0
"NLD","ISR",3
"POL","ISR",0
"UKR","ISR",0
"ARM","ISR",0
"AUT","ISR",5
"ESP","ISR",0
"BLR","ISR",0
"NOR","ISR",0
"ROU","ISR",0
"PRT","LTU",12
"AUS","LTU",8
"BEL","LTU",10
"BGR","LTU",7
"SWE","LTU",6
"FRA","LTU",3
"ITA","LTU",5
"ISR","LTU",2
"GRC","LTU",0
"MDA","LTU",4
"HRV","LTU",0
"CYP","LTU",0
"HUN","LTU",0
"GBR","LTU",0
"DNK","LTU",0
"DEU","LTU",1
"AZE","LTU",0
"NLD","LTU",0
"POL","LTU",0
"UKR","LTU",0
"ARM","LTU",0
"AUT","LTU",0
"ESP","LTU",0
"BLR","LTU",0
"NOR","LTU",0
"ROU","LTU",0
"PRT","MLT",12
"AUS","MLT",6
"BEL","MLT",1
"BGR","MLT",7
"SWE","MLT",8
"FRA","MLT",0
"ITA","MLT",5
"ISR","MLT",10
"GRC","MLT",3
"MDA","MLT",0
"HRV","MLT",0
"CYP","MLT",0
"HUN","MLT",0
"GBR","MLT",4
"DNK","MLT",0
"DEU","MLT",0
"AZE","MLT",0
"NLD","MLT",2
"POL","MLT",0
"UKR","MLT",0
"ARM","MLT",0
"AUT","MLT",0
"ESP","MLT",0
"BLR","MLT",0
"NOR","MLT",0
"ROU","MLT",0
"PRT","NLD",8
"AUS","NLD",7
"BEL","NLD",12
"BGR","NLD",6
"SWE","NLD",4
"FRA","NLD",2
"ITA","NLD",3
"ISR","NLD",5
"GRC","NLD",1
"MDA","NLD",0
"HRV","NLD",0
"CYP","NLD",0
"HUN","NLD",0
"GBR","NLD",0
"DNK","NLD",10
"DEU","NLD",0
"AZE","NLD",0
"NLD","NLD",0
"POL","NLD",0
"UKR","NLD",0
"ARM","NLD",0
"AUT","NLD",0
"ESP","NLD",0
"BLR","NLD",0
"NOR","NLD",0
"ROU","NLD",0
"PRT","NOR",10
"AUS","NOR",12
"BEL","NOR",5
"BGR","NOR",8
"SWE","NOR",7
"FRA","NOR",0
"ITA","NOR",0
"ISR","NOR",4
"GRC","NOR",0
"MDA","NOR",3
"HRV","NOR",6
"CYP","NOR",0
"HUN","NOR",0
"GBR","NOR",0
"DNK","NOR",2
"DEU","NOR",0
"AZE","NOR",0
"NLD","NOR",1
"POL","NOR",0
"UKR","NOR",0
"ARM","NOR",0
"AUT","NOR",0
"ESP","NOR",0
"BLR","NOR",0
"NOR","NOR",0
"ROU","NOR",0
"PRT","ROU",10
"AUS","ROU",5
"BEL","ROU",1
"BGR","ROU",8
"SWE","ROU",2
"FRA","ROU",4
"ITA","ROU",3
"ISR","ROU",6
"GRC","ROU",0
"MDA","ROU",7
"HRV","ROU",0
"CYP","ROU",0
"HUN","ROU",12
"GBR","ROU",0
"DNK","ROU",0
"DEU","ROU",0
"AZE","ROU",0
"NLD","ROU",0
"POL","ROU",0
"UKR","ROU",0
"ARM","ROU",0
"AUT","ROU",0
"ESP","ROU",0
"BLR","ROU",0
"NOR","ROU",0
"ROU","ROU",0
"PRT","SMR",0
"AUS","SMR",0
"BEL","SMR",0
"BGR","SMR",0
"SWE","SMR",0
"FRA","SMR",8
"ITA","SMR",12
"ISR","SMR",10
"GRC","SMR",0
"MDA","SMR",0
"HRV","SMR",0
"CYP","SMR",0
"HUN","SMR",0
"GBR","SMR",0
"DNK","SMR",0
"DEU","SMR",0
"AZE","SMR",0
"NLD","SMR",0
"POL","SMR",0
"UKR","SMR",0
"ARM","SMR",0
"AUT","SMR",0
"ESP","SMR",0
"BLR","SMR",0
"NOR","SMR",0
"ROU","SMR",0
"PRT","SRB",12
"AUS","SRB",10
"BEL","SRB",2
"BGR","SRB",7
"SWE","SRB",3
"FRA","SRB",4
"ITA","SRB",0
"ISR","SRB",6
"GRC","SRB",0
"MDA","SRB",1
"HRV","SRB",8
"CYP","SRB",0
"HUN","SRB",5
"GBR","SRB",0
"DNK","SRB",0
"DEU","SRB",0
"AZE","SRB",0
"NLD","SRB",0
"POL","SRB",0
"UKR","SRB",0
"ARM","SRB",0
"AUT","SRB",0
"ESP","SRB",0
"BLR","SRB",0
"NOR","SRB",0
"ROU","SRB",0
"PRT","CHE",12
"AUS","CHE",7
"BEL","CHE",2
"BGR","CHE",0
"SWE","CHE",4
"FRA","CHE",10
"ITA","CHE",8
"ISR","CHE",5
"GRC","CHE",1
"MDA","CHE",0
"HRV","CHE",6
"CYP","CHE",0
"HUN","CHE",0
"GBR","CHE",0
"DNK","CHE",0
"DEU","CHE",3
"AZE","CHE",0
"NLD","CHE",0
"POL","CHE",0
"UKR","CHE",0
"ARM","CHE",0
"AUT","CHE",0
"ESP","CHE",0
"BLR","CHE",0
"NOR","CHE",0
"ROU","CHE",0
"PRT","FRA",12
"AUS","FRA",3
"BEL","FRA",10
"BGR","FRA",4
"SWE","FRA",6
"FRA","FRA",0
"ITA","FRA",7
"ISR","FRA",8
"GRC","FRA",2
"MDA","FRA",5
"HRV","FRA",0
"CYP","FRA",1
"HUN","FRA",0
"GBR","FRA",0
"DNK","FRA",0
"DEU","FRA",0
"AZE","FRA",0
"NLD","FRA",0
"POL","FRA",0
"UKR","FRA",0
"ARM","FRA",0
"AUT","FRA",0
"ESP","FRA",0
"BLR","FRA",0
"NOR","FRA",0
"ROU","FRA",0
"PRT","DEU",12
"AUS","DEU",6
"BEL","DEU",10
"BGR","DEU",5
"SWE","DEU",3
"FRA","DEU",2
"ITA","DEU",8
"ISR","DEU",1
"GRC","DEU",7
"MDA","DEU",0
"HRV","DEU",4
"CYP","DEU",0
"HUN","DEU",0
"GBR","DEU",0
"DNK","DEU",0
"DEU","DEU",0
"AZE","DEU",0
"NLD","DEU",0
"POL","DEU",0
"UKR","DEU",0
"ARM","DEU",0
"AUT","DEU",0
"ESP","DEU",0
"BLR","DEU",0
"NOR","DEU",0
"ROU","DEU",0
"PRT","ITA",10
"AUS","ITA",3
"BEL","ITA",5
"BGR","ITA",2
"SWE","ITA",7
"FRA","ITA",4
"ITA","ITA",0
"ISR","ITA",12
"GRC","ITA",8
"MDA","ITA",6
"HRV","ITA",1
"CYP","ITA",0
"HUN","ITA",0
"GBR","ITA",0
"DNK","ITA",0
"DEU","ITA",0
"AZE","ITA",0
"NLD","ITA",0
"POL","ITA",0
"UKR","ITA",0
"ARM","ITA",0
"AUT","ITA",0
"ESP","ITA",0
"BLR","ITA",0
"NOR","ITA",0
"ROU","ITA",0
"PRT","ESP",12
"AUS","ESP",3
"BEL","ESP",4
"BGR","ESP",6
"SWE","ESP",5
"FRA","ESP",7
"ITA","ESP",10
"ISR","ESP",8
"GRC","ESP",0
"MDA","ESP",0
"HRV","ESP",0
"CYP","ESP",0
"HUN","ESP",0
"GBR","ESP",2
"DNK","ESP",0
"DEU","ESP",0
"AZE","ESP",0
"NLD","ESP",1
"POL","ESP",0
"UKR","ESP",0
"ARM","ESP",0
"AUT","ESP",0
"ESP","ESP",0
"BLR","ESP",0
"NOR","ESP",0
"ROU","ESP",0
"PRT","UKR",8
"AUS","UKR",5
"BEL","UKR",7
"BGR","UKR",0
"SWE","UKR",10
"FRA","UKR",6
"ITA","UKR",4
"ISR","UKR",0
"GRC","UKR",0
"MDA","UKR",12
"HRV","UKR",0
"CYP","UKR",0
"HUN","UKR",0
"GBR","UKR",0
"DNK","UKR",0
"DEU","UKR",0
"AZE","UKR",3
"NLD","UKR",0
"POL","UKR",1
"UKR","UKR",0
"ARM","UKR",0
"AUT","UKR",0
"ESP","UKR",0
"BLR","UKR",2
"NOR","UKR",0
"ROU","UKR",0
"PRT","GBR",12
"AUS","GBR",10
"BEL","GBR",6
"BGR","GBR",4
"SWE","GBR",3
"FRA","GBR",5
"ITA","GBR",2
"ISR","GBR",7
"GRC","GBR",8
"MDA","GBR",0
"HRV","GBR",0
"CYP","GBR",0
"HUN","GBR",0
"GBR","GBR",0
"DNK","GBR",0
"DEU","GBR",0
"AZE","GBR",0
"NLD","GBR",1
"POL","GBR",0
"UKR","GBR",0
"ARM","GBR",0
"AUT","GBR",0
"ESP","GBR",0
"BLR","GBR",0
"NOR","GBR",0
"ROU","GBR",0
