"to","from","points"
"DEU","MDA",0
"ESP","MDA",0
"PRT","MNE",8
"BGR","MNE",8
"MDA","MNE",3
"BEL","MNE",10
"SWE","MNE",7
"ITA","MNE",18
"ROU","MNE",10
"HUN","MNE",7
"AUS","MNE",0
"NOR","MNE",0
"NLD","MNE",0
"FRA","MNE",5
"HRV","MNE",17
"AZE","MNE",5
"GBR","MNE",0
"AUT","MNE",1
"BLR","MNE",0
"ARM","MNE",4
"GRC","MNE",12
"DNK","MNE",0
"CYP","MNE",1
"POL","MNE",0
"ISR","MNE",0
"UKR","MNE",0
"DEU","MNE",0
"ESP","MNE",0
"PRT","NLD",24
"BGR","NLD",18
"MDA","NLD",5
"BEL","NLD",12
"SWE","NLD",10
"ITA","NLD",2
"ROU","NLD",8
"HUN","NLD",6
"AUS","NLD",4
"NOR","NLD",7
"NLD","NLD",0
"FRA","NLD",0
"HRV","NLD",3
"AZE","NLD",0
"GBR","NLD",5
"AUT","NLD",3
"BLR","NLD",0
"ARM","NLD",0
"GRC","NLD",0
"DNK","NLD",8
"CYP","NLD",0
"POL","NLD",1
"ISR","NLD",0
"UKR","NLD",0
"DEU","NLD",0
"ESP","NLD",0
"PRT","NOR",22
"BGR","NOR",20
"MDA","NOR",8
"BEL","NOR",7
"SWE","NOR",11
"ITA","NOR",9
"ROU","NOR",10
"HUN","NOR",4
"AUS","NOR",3
"NOR","NOR",0
"NLD","NOR",4
"FRA","NOR",0
"HRV","NOR",1
"AZE","NOR",0
"GBR","NOR",1
"AUT","NOR",0
"BLR","NOR",0
"ARM","NOR",0
"GRC","NOR",0
"DNK","NOR",8
"CYP","NOR",0
"POL","NOR",3
"ISR","NOR",5
"UKR","NOR",0
"DEU","NOR",0
"ESP","NOR",0
"PRT","POL",22
"BGR","POL",14
"MDA","POL",6
"BEL","POL",22
"SWE","POL",7
"ITA","POL",0
"ROU","POL",7
"HUN","POL",5
"AUS","POL",7
"NOR","POL",3
"NLD","POL",8
"FRA","POL",0
"HRV","POL",1
"AZE","POL",1
"GBR","POL",5
"AUT","POL",0
"BLR","POL",4
"ARM","POL",2
"GRC","POL",0
"DNK","POL",0
"CYP","POL",0
"POL","POL",0
"ISR","POL",0
"UKR","POL",2
"DEU","POL",0
"ESP","POL",0
"PRT","PRT",0
"BGR","PRT",8
"MDA","PRT",18
"BEL","PRT",18
"SWE","PRT",8
"ITA","PRT",4
"ROU","PRT",7
"HUN","PRT",2
"AUS","PRT",5
"NOR","PRT",2
"NLD","PRT",3
"FRA","PRT",10
"HRV","PRT",0
"AZE","PRT",12
"GBR","PRT",0
"AUT","PRT",10
"BLR","PRT",0
"ARM","PRT",0
"GRC","PRT",0
"DNK","PRT",0
"CYP","PRT",1
"POL","PRT",0
"ISR","PRT",0
"UKR","PRT",3
"DEU","PRT",0
"ESP","PRT",5
"PRT","ROU",13
"BGR","ROU",18
"MDA","ROU",20
"BEL","ROU",5
"SWE","ROU",9
"ITA","ROU",6
"ROU","ROU",0
"HUN","ROU",10
"AUS","ROU",4
"NOR","ROU",0
"NLD","ROU",12
"FRA","ROU",4
"HRV","ROU",6
"AZE","ROU",0
"GBR","ROU",0
"AUT","ROU",1
"BLR","ROU",0
"ARM","ROU",0
"GRC","ROU",1
"DNK","ROU",5
"CYP","ROU",0
"POL","ROU",0
"ISR","ROU",2
"UKR","ROU",0
"DEU","ROU",0
"ESP","ROU",0
"PRT","SMR",19
"BGR","SMR",14
"MDA","SMR",8
"BEL","SMR",13
"SWE","SMR",2
"ITA","SMR",13
"ROU","SMR",6
"HUN","SMR",4
"AUS","SMR",0
"NOR","SMR",10
"NLD","SMR",7
"FRA","SMR",0
"HRV","SMR",3
"AZE","SMR",6
"GBR","SMR",6
"AUT","SMR",0
"BLR","SMR",0
"ARM","SMR",4
"GRC","SMR",0
"DNK","SMR",0
"CYP","SMR",0
"POL","SMR",1
"ISR","SMR",0
"UKR","SMR",0
"DEU","SMR",0
"ESP","SMR",0
"PRT","SRB",20
"BGR","SRB",16
"MDA","SRB",14
"BEL","SRB",3
"SWE","SRB",3
"ITA","SRB",14
"ROU","SRB",4
"HUN","SRB",22
"AUS","SRB",3
"NOR","SRB",0
"NLD","SRB",0
"FRA","SRB",2
"HRV","SRB",5
"AZE","SRB",0
"GBR","SRB",0
"AUT","SRB",4
"BLR","SRB",0
"ARM","SRB",5
"GRC","SRB",0
"DNK","SRB",0
"CYP","SRB",0
"POL","SRB",0
"ISR","SRB",1
"UKR","SRB",0
"DEU","SRB",0
"ESP","SRB",0
"PRT","SVN",20
"BGR","SVN",15
"MDA","SVN",3
"BEL","SVN",11
"SWE","SVN",7
"ITA","SVN",12
"ROU","SVN",2
"HUN","SVN",5
"AUS","SVN",7
"NOR","SVN",0
"NLD","SVN",1
"FRA","SVN",0
"HRV","SVN",12
"AZE","SVN",4
"GBR","SVN",10
"AUT","SVN",0
"BLR","SVN",0
"ARM","SVN",3
"GRC","SVN",0
"DNK","SVN",0
"CYP","SVN",0
"POL","SVN",4
"ISR","SVN",0
"UKR","SVN",0
"DEU","SVN",0
"ESP","SVN",0
"PRT","ESP",24
"BGR","ESP",16
"MDA","ESP",13
"BEL","ESP",8
"SWE","ESP",10
"ITA","ESP",18
"ROU","ESP",7
"HUN","ESP",0
"AUS","ESP",8
"NOR","ESP",0
"NLD","ESP",3
"FRA","ESP",3
"HRV","ESP",0
"AZE","ESP",0
"GBR","ESP",1
"AUT","ESP",3
"BLR","ESP",0
"ARM","ESP",0
"GRC","ESP",2
"DNK","ESP",0
"CYP","ESP",0
"POL","ESP",0
"ISR","ESP",0
"UKR","ESP",0
"DEU","ESP",0
"ESP","ESP",0
"PRT","SWE",22
"BGR","SWE",14
"MDA","SWE",16
"BEL","SWE",13
"SWE","SWE",0
"ITA","SWE",7
"ROU","SWE",3
"HUN","SWE",4
"AUS","SWE",10
"NOR","SWE",6
"NLD","SWE",3
"FRA","SWE",0
"HRV","SWE",2
"AZE","SWE",0
"GBR","SWE",0
"AUT","SWE",4
"BLR","SWE",0
"ARM","SWE",0
"GRC","SWE",0
"DNK","SWE",5
"CYP","SWE",2
"POL","SWE",5
"ISR","SWE",0
"UKR","SWE",0
"DEU","SWE",0
"ESP","SWE",0
"PRT","CHE",24
"BGR","CHE",14
"MDA","CHE",0
"BEL","CHE",13
"SWE","CHE",11
"ITA","CHE",12
"ROU","CHE",4
"HUN","CHE",8
"AUS","CHE",4
"NOR","CHE",5
"NLD","CHE",7
"FRA","CHE",3
"HRV","CHE",8
"AZE","CHE",0
"GBR","CHE",0
"AUT","CHE",0
"BLR","CHE",0
"ARM","CHE",0
"GRC","CHE",0
"DNK","CHE",0
"CYP","CHE",0
"POL","CHE",0
"ISR","CHE",0
"UKR","CHE",0
"DEU","CHE",3
"ESP","CHE",0
"PRT","UKR",20
"BGR","UKR",2
"MDA","UKR",16
"BEL","UKR",6
"SWE","UKR",7
"ITA","UKR",0
"ROU","UKR",3
"HUN","UKR",12
"AUS","UKR",2
"NOR","UKR",1
"NLD","UKR",3
"FRA","UKR",11
"HRV","UKR",7
"AZE","UKR",6
"GBR","UKR",0
"AUT","UKR",0
"BLR","UKR",20
"ARM","UKR",0
"GRC","UKR",0
"DNK","UKR",0
"CYP","UKR",0
"POL","UKR",0
"ISR","UKR",0
"UKR","UKR",0
"DEU","UKR",0
"ESP","UKR",0
"PRT","GBR",20
"BGR","GBR",19
"MDA","GBR",12
"BEL","GBR",8
"SWE","GBR",12
"ITA","GBR",2
"ROU","GBR",7
"HUN","GBR",1
"AUS","GBR",10
"NOR","GBR",0
"NLD","GBR",4
"FRA","GBR",0
"HRV","GBR",5
"AZE","GBR",0
"GBR","GBR",0
"AUT","GBR",3
"BLR","GBR",1
"ARM","GBR",0
"GRC","GBR",0
"DNK","GBR",2
"CYP","GBR",0
"POL","GBR",10
"ISR","GBR",0
"UKR","GBR",0
"DEU","GBR",0
"ESP","GBR",0
